Age,Gender,Department,JobRole,TenureYears,MonthlyIncome_raw,MonthlyIncome_normalized,TotalAllowances,Attendance_LateCount,Attendance_AbsentCount,Attendance_HalfDayCount,Leave_TotalDaysApproved,Leave_RequestCount,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,Attrition,Attrition_binary,DataSource,SampleWeight
47.0,Male,Finance,Finance Controller,0.4,182383.04,-0.13062174427793416,20087.17,7.0,3.0,1.0,6.0,4.0,,,,No,0.0,Local_Synthetic,0.5
46.0,Female,HR,HR Manager,10.81,243068.6,0.38436408524786964,30720.08,3.0,1.0,3.0,1.9,1.0,,,,No,0.0,Local_Synthetic,0.5
48.0,Male,Engineering,Senior Software Engineer,1.06,180042.72,-0.15048201476989026,14129.89,1.0,1.0,0.0,7.8,3.0,,,,Yes,1.0,Local_Synthetic,0.5
39.0,Female,Marketing,Marketing Manager,4.19,318591.14,1.0252585238885563,41020.38,0.0,1.0,1.0,7.8,3.0,,,,No,0.0,Local_Synthetic,0.5
26.0,Female,Operations,Senior Project Manager,0.7,176753.38,-0.1783957967056985,20014.76,2.0,1.0,0.0,4.3,4.0,,,,No,0.0,Local_Synthetic,0.5
50.0,Male,Marketing,Digital Marketer,1.78,99049.5,-0.8378013801620185,14155.78,1.0,0.0,1.0,3.2,2.0,,,,No,0.0,Local_Synthetic,0.5
37.0,Female,Marketing,Digital Marketer,0.32,56125.09,-1.2020637004035342,8312.15,1.0,0.0,1.0,1.8,1.0,,,,No,0.0,Local_Synthetic,0.5
39.0,Female,Sales,Senior Account Manager,0.41,223245.4,0.21614174214259188,12107.63,0.0,1.0,5.0,2.2,1.0,,,,No,0.0,Local_Synthetic,0.5
34.0,Male,Sales,Account Manager,0.08,218098.81,0.17246708674880126,20608.98,2.0,0.0,3.0,3.9,3.0,,,,Yes,1.0,Local_Synthetic,0.5
28.0,Female,Sales,Sales Executive,5.65,222614.99,0.210791998038865,23307.52,0.0,2.0,0.0,5.0,3.0,,,,No,0.0,Local_Synthetic,0.5
53.0,Male,Marketing,Marketing Manager,1.24,319547.39,1.033373390085458,20666.51,4.0,0.0,1.0,13.9,5.0,,,,No,0.0,Local_Synthetic,0.5
48.0,Male,Finance,Senior Accountant,2.42,257262.27,0.5048134791228789,21514.48,4.0,0.0,0.0,5.9,3.0,,,,No,0.0,Local_Synthetic,0.5
43.0,Male,HR,HR Manager,3.04,341817.64,1.2223617288269482,50850.41,0.0,0.0,0.0,2.5,1.0,,,,No,0.0,Local_Synthetic,0.5
35.0,Female,Marketing,Marketing Manager,0.63,120531.68,-0.6555007095029256,6222.21,1.0,1.0,1.0,7.9,4.0,,,,No,0.0,Local_Synthetic,0.5
49.0,Female,Finance,Finance Controller,10.27,275210.47,0.6571243198812904,26214.02,0.0,0.0,1.0,1.9,1.0,,,,Yes,1.0,Local_Synthetic,0.5
40.0,Male,Marketing,Marketing Executive,1.91,281680.2,0.712027319389872,37819.92,2.0,0.0,0.0,4.5,2.0,,,,No,0.0,Local_Synthetic,0.5
37.0,Female,Marketing,Digital Marketer,0.26,83240.22,-0.9719610579338921,6858.17,4.0,0.0,0.0,6.1,4.0,,,,No,0.0,Local_Synthetic,0.5
37.0,Female,Engineering,Software Engineer,0.38,81646.63,-0.9854844771471947,7999.72,1.0,0.0,2.0,3.0,2.0,,,,Yes,1.0,Local_Synthetic,0.5
29.0,Female,HR,HR Manager,1.74,348640.38,1.2802604187053785,51530.64,2.0,2.0,0.0,8.9,3.0,,,,No,0.0,Local_Synthetic,0.5
25.0,Female,Operations,Project Manager,0.44,400627.35,1.7214288427914883,39056.23,0.0,1.0,0.0,8.2,3.0,,,,No,0.0,Local_Synthetic,0.5
40.0,Male,Operations,Project Manager,1.14,125939.66,-0.6096078633899629,7945.8,5.0,1.0,0.0,12.4,5.0,,,,No,0.0,Local_Synthetic,0.5
52.0,Female,Engineering,QA Engineer,2.6,48295.03,-1.268510643372122,2664.54,5.0,4.0,1.0,2.5,2.0,,,,No,0.0,Local_Synthetic,0.5
24.0,Male,Sales,Account Manager,0.15,304571.58,0.9062866509061404,44023.28,0.0,0.0,1.0,5.3,5.0,,,,No,0.0,Local_Synthetic,0.5
51.0,Male,Finance,Senior Accountant,1.26,210363.92,0.10682776920866754,16109.87,1.0,2.0,1.0,5.4,4.0,,,,No,0.0,Local_Synthetic,0.5
50.0,Male,Operations,Project Manager,5.49,473238.6,2.337617682676224,47516.18,1.0,0.0,0.0,11.5,4.0,,,,No,0.0,Local_Synthetic,0.5
31.0,Female,Engineering,Senior Software Engineer,0.26,246834.94,0.4163257533807206,14580.58,0.0,2.0,0.0,2.6,1.0,,,,No,0.0,Local_Synthetic,0.5
43.0,Female,Finance,Accountant,3.4,71133.38,-1.074701331572896,6570.27,0.0,0.0,0.0,2.0,1.0,,,,No,0.0,Local_Synthetic,0.5
27.0,Male,Sales,Senior Account Manager,0.18,168609.27,-0.2475078102407042,24112.91,3.0,0.0,0.0,11.8,4.0,,,,No,0.0,Local_Synthetic,0.5
47.0,Male,Sales,Sales Executive,9.37,53477.22,-1.2245338815871054,5360.63,2.0,2.0,1.0,3.9,3.0,,,,No,0.0,Local_Synthetic,0.5
45.0,Male,Finance,Accountant,0.89,128985.31,-0.5837620675911722,18975.48,4.0,4.0,0.0,4.2,2.0,,,,No,0.0,Local_Synthetic,0.5
34.0,Female,HR,HR Manager,0.86,259676.33,0.5252995171791325,19705.16,0.0,1.0,0.0,6.8,5.0,,,,No,0.0,Local_Synthetic,0.5
24.0,Male,Finance,Accountant,3.82,120672.53,-0.654305437446629,12122.1,3.0,0.0,3.0,3.2,2.0,,,,No,0.0,Local_Synthetic,0.5
55.0,Female,Sales,Account Manager,7.91,431100.49,1.9800280100588905,58609.44,2.0,2.0,1.0,8.6,3.0,,,,No,0.0,Local_Synthetic,0.5
37.0,Male,Operations,Senior Project Manager,11.16,452233.0,2.1593613340376483,42883.1,0.0,0.0,2.0,10.9,4.0,,,,No,0.0,Local_Synthetic,0.5
52.0,Male,Engineering,QA Engineer,4.84,76013.44,-1.033288485630044,5925.15,1.0,0.0,1.0,6.0,5.0,,,,No,0.0,Local_Synthetic,0.5
45.0,Female,Marketing,Marketing Executive,6.05,66320.54,-1.1155437395489443,8989.59,2.0,0.0,0.0,7.5,5.0,,,,No,0.0,Local_Synthetic,0.5
48.0,Male,Engineering,Software Engineer,3.84,96275.23,-0.8613442087571334,8567.43,0.0,0.0,1.0,8.8,4.0,,,,No,0.0,Local_Synthetic,0.5
47.0,Male,Operations,Senior Project Manager,0.67,349650.36,1.288831244913532,36039.28,0.0,0.0,2.0,1.1,1.0,,,,No,0.0,Local_Synthetic,0.5
28.0,Male,HR,HR Executive,4.08,156011.46,-0.3544145213769031,23035.51,0.0,0.0,0.0,2.1,1.0,,,,No,0.0,Local_Synthetic,0.5
34.0,Female,HR,HR Manager,0.58,414627.9,1.8402393943554438,28463.51,3.0,0.0,2.0,8.7,4.0,,,,No,0.0,Local_Synthetic,0.5
37.0,Male,Engineering,Software Engineer,3.46,56406.15,-1.1996785874170754,4520.39,1.0,2.0,0.0,4.7,3.0,,,,No,0.0,Local_Synthetic,0.5
38.0,Male,Operations,Operations Executive,2.69,282790.63,0.7214505778170882,15018.15,1.0,2.0,2.0,1.6,1.0,,,,No,0.0,Local_Synthetic,0.5
23.0,Male,Engineering,DevOps Engineer,1.25,59991.23,-1.1692551160391005,5350.24,3.0,4.0,0.0,5.8,4.0,,,,Yes,1.0,Local_Synthetic,0.5
40.0,Female,Finance,Finance Controller,2.49,377843.0,1.5280777822598524,26455.94,0.0,0.0,1.0,14.4,5.0,,,,No,0.0,Local_Synthetic,0.5
27.0,Female,Operations,Senior Project Manager,3.16,142572.48,-0.4684595143419623,16824.05,4.0,3.0,0.0,1.8,1.0,,,,No,0.0,Local_Synthetic,0.5
47.0,Female,Marketing,Marketing Manager,0.81,192998.75,-0.04053540050265438,13149.42,1.0,0.0,1.0,10.9,5.0,,,,No,0.0,Local_Synthetic,0.5
45.0,Male,Operations,Operations Executive,1.46,238023.99,0.34155484585905665,27963.36,1.0,1.0,0.0,3.2,2.0,,,,No,0.0,Local_Synthetic,0.5
53.0,Female,Sales,Senior Account Manager,1.48,252252.27,0.4622979448520528,19258.84,0.0,0.0,1.0,4.8,2.0,,,,No,0.0,Local_Synthetic,0.5
47.0,Male,Operations,Senior Project Manager,0.39,391802.8,1.6465425238394686,33507.67,2.0,1.0,1.0,4.8,4.0,,,,No,0.0,Local_Synthetic,0.5
34.0,Female,Operations,Operations Executive,1.01,152105.87,-0.38755788375071465,12911.67,1.0,0.0,1.0,2.3,2.0,,,,No,0.0,Local_Synthetic,0.5
54.0,Female,Sales,Sales Executive,3.59,134950.37,-0.5331417656236005,16420.11,1.0,0.0,2.0,2.5,1.0,,,,No,0.0,Local_Synthetic,0.5
35.0,Female,Engineering,DevOps Engineer,4.18,120443.62,-0.6562479985144802,11640.99,0.0,0.0,2.0,12.3,5.0,,,,Yes,1.0,Local_Synthetic,0.5
33.0,Female,Marketing,Marketing Executive,2.01,128870.99,-0.5847322024969288,11099.64,1.0,0.0,2.0,3.1,2.0,,,,No,0.0,Local_Synthetic,0.5
52.0,Female,Engineering,DevOps Engineer,2.1,46890.04,-1.2804335776026945,6342.45,0.0,2.0,0.0,1.7,1.0,,,,No,0.0,Local_Synthetic,0.5
34.0,Male,Finance,Accountant,1.39,105689.8,-0.7814509006772746,11329.42,2.0,1.0,1.0,11.7,4.0,,,,No,0.0,Local_Synthetic,0.5
24.0,Female,Sales,Sales Executive,4.08,169789.52,-0.2374920498967636,12120.1,4.0,3.0,1.0,2.4,2.0,,,,Yes,1.0,Local_Synthetic,0.5
37.0,Female,Engineering,Senior Software Engineer,1.42,327993.32,1.1050466887609067,45922.06,0.0,0.0,0.0,5.5,4.0,,,,No,0.0,Local_Synthetic,0.5
49.0,Female,Operations,Operations Executive,3.35,80896.62,-0.991849162947287,6816.76,0.0,0.0,0.0,1.9,1.0,,,,No,0.0,Local_Synthetic,0.5
28.0,Female,Engineering,QA Engineer,2.24,64374.9,-1.1320547024428946,3469.67,3.0,3.0,1.0,4.7,3.0,,,,Yes,1.0,Local_Synthetic,0.5
37.0,Male,Operations,Senior Project Manager,2.1,221872.09,0.2044876486556721,22067.4,0.0,0.0,1.0,6.9,3.0,,,,No,0.0,Local_Synthetic,0.5
26.0,Female,Operations,Senior Project Manager,10.06,241918.71,0.37460596394992934,15094.23,2.0,1.0,1.0,11.9,5.0,,,,No,0.0,Local_Synthetic,0.5
45.0,Male,Engineering,QA Engineer,7.51,52944.94,-1.2290508813040069,3909.81,1.0,0.0,0.0,6.2,3.0,,,,Yes,1.0,Local_Synthetic,0.5
38.0,Female,Sales,Sales Executive,3.34,112360.51,-0.7248423578398011,14012.6,3.0,3.0,2.0,11.1,5.0,,,,No,0.0,Local_Synthetic,0.5
33.0,Female,Operations,Senior Project Manager,4.18,209211.44,0.09704766882215214,13196.05,1.0,0.0,0.0,3.7,2.0,,,,No,0.0,Local_Synthetic,0.5
29.0,Male,Finance,Senior Accountant,0.52,381230.02,1.5568204898219231,49824.64,1.0,0.0,2.0,7.6,3.0,,,,No,0.0,Local_Synthetic,0.5
41.0,Female,Engineering,QA Engineer,1.62,101978.6,-0.812944643349109,14653.38,0.0,1.0,1.0,5.4,5.0,,,,No,0.0,Local_Synthetic,0.5
44.0,Female,Marketing,Marketing Manager,4.56,264136.34,0.5631477622895574,29227.53,7.0,5.0,0.0,1.6,1.0,,,,No,0.0,Local_Synthetic,0.5
53.0,Female,Sales,Senior Account Manager,3.58,239361.19,0.3529025050261124,28971.3,9.0,2.0,2.0,11.8,5.0,,,,No,0.0,Local_Synthetic,0.5
36.0,Male,Engineering,DevOps Engineer,0.83,83429.66,-0.9703534445981106,10124.91,1.0,2.0,0.0,6.6,4.0,,,,Yes,1.0,Local_Synthetic,0.5
27.0,Male,Marketing,Digital Marketer,10.87,62618.08,-1.146963313404506,9347.68,1.0,0.0,1.0,4.6,4.0,,,,Yes,1.0,Local_Synthetic,0.5
50.0,Female,Engineering,QA Engineer,0.13,56711.5,-1.197087346221547,4772.49,0.0,1.0,0.0,3.4,2.0,,,,No,0.0,Local_Synthetic,0.5
43.0,Female,Finance,Finance Controller,3.9,192231.64,-0.047045199204149964,12742.2,1.0,0.0,1.0,12.1,5.0,,,,No,0.0,Local_Synthetic,0.5
45.0,Female,Marketing,Marketing Executive,0.34,112107.45,-0.7269898590578799,11425.62,1.0,0.0,0.0,6.2,5.0,,,,No,0.0,Local_Synthetic,0.5
25.0,Female,Finance,Accountant,8.6,93170.08,-0.8876949295637313,9626.8,1.0,0.0,0.0,4.9,2.0,,,,Yes,1.0,Local_Synthetic,0.5
32.0,Male,Finance,Senior Accountant,0.3,298751.89,0.8568999783231894,20252.76,0.0,0.0,0.0,7.7,3.0,,,,No,0.0,Local_Synthetic,0.5
48.0,Female,HR,HR Executive,5.43,180737.0,-0.1445902612502198,20118.01,1.0,1.0,1.0,2.3,1.0,,,,Yes,1.0,Local_Synthetic,0.5
50.0,Male,Engineering,Senior Software Engineer,0.63,148405.78,-0.4189573454673096,7629.91,0.0,0.0,0.0,3.0,2.0,,,,No,0.0,Local_Synthetic,0.5
36.0,Female,Finance,Finance Controller,15.0,282828.61,0.7217728812086261,40378.55,2.0,1.0,0.0,2.6,1.0,,,,Yes,1.0,Local_Synthetic,0.5
49.0,Female,Marketing,Marketing Manager,2.02,256419.63,0.49766272267617867,19605.19,1.0,0.0,0.0,4.3,3.0,,,,No,0.0,Local_Synthetic,0.5
50.0,Female,Engineering,QA Engineer,4.11,88630.78,-0.9262160402854002,4782.16,1.0,1.0,0.0,8.4,3.0,,,,No,0.0,Local_Synthetic,0.5
35.0,Female,Marketing,Digital Marketer,3.43,79690.07,-1.0020881086308129,4847.14,0.0,0.0,1.0,7.2,3.0,,,,No,0.0,Local_Synthetic,0.5
52.0,Male,HR,HR Executive,2.34,84173.71,-0.9640393361601449,6230.95,1.0,1.0,0.0,4.4,4.0,,,,Yes,1.0,Local_Synthetic,0.5
31.0,Male,Finance,Finance Controller,5.05,168989.04,-0.2442850309093604,13078.17,0.0,0.0,0.0,13.0,5.0,,,,No,0.0,Local_Synthetic,0.5
30.0,Male,Engineering,QA Engineer,2.59,80709.29,-0.9934388705390942,4300.27,0.0,0.0,0.0,2.0,1.0,,,,No,0.0,Local_Synthetic,0.5
45.0,Female,Finance,Accountant,9.59,200680.83,0.024655764270045753,15640.16,2.0,0.0,0.0,3.8,2.0,,,,Yes,1.0,Local_Synthetic,0.5
43.0,Male,Sales,Account Manager,0.21,115482.0,-0.6983529735940842,8002.23,1.0,0.0,1.0,3.7,2.0,,,,No,0.0,Local_Synthetic,0.5
26.0,Female,Sales,Account Manager,15.0,321526.59,1.0501691476560806,28250.0,4.0,1.0,1.0,11.1,5.0,,,,Yes,1.0,Local_Synthetic,0.5
50.0,Male,Operations,Senior Project Manager,2.9,450626.31,2.1457267464612824,39887.99,0.0,1.0,2.0,2.4,1.0,,,,No,0.0,Local_Synthetic,0.5
28.0,Male,Engineering,DevOps Engineer,1.03,76410.4,-1.0299198296451844,6410.89,1.0,1.0,0.0,2.8,1.0,,,,No,0.0,Local_Synthetic,0.5
49.0,Male,HR,HR Manager,2.05,348929.75,1.2827160514702387,28888.73,1.0,0.0,1.0,1.5,1.0,,,,No,0.0,Local_Synthetic,0.5
22.0,Male,Finance,Senior Accountant,4.35,211359.82,0.11527911064186425,12464.55,0.0,0.0,0.0,9.0,4.0,,,,No,0.0,Local_Synthetic,0.5
49.0,Male,Engineering,Senior Software Engineer,3.49,266945.13,0.5869835322505461,14020.09,3.0,0.0,1.0,7.1,3.0,,,,No,0.0,Local_Synthetic,0.5
48.0,Male,Sales,Account Manager,7.31,146411.95,-0.4358772551869106,10279.79,3.0,3.0,1.0,11.7,5.0,,,,Yes,1.0,Local_Synthetic,0.5
48.0,Female,HR,HR Executive,7.97,61628.37,-1.1553621256646216,7744.53,1.0,0.0,0.0,4.0,2.0,,,,Yes,1.0,Local_Synthetic,0.5
44.0,Female,Finance,Finance Controller,3.31,408256.61,1.7861717699354094,60863.29,2.0,1.0,0.0,3.6,2.0,,,,No,0.0,Local_Synthetic,0.5
38.0,Female,Marketing,Marketing Manager,5.51,188819.52,-0.07600090874430414,26973.36,1.0,1.0,0.0,7.6,3.0,,,,No,0.0,Local_Synthetic,0.5
45.0,Male,Marketing,Marketing Manager,2.35,233359.1,0.3019679614948584,23434.37,2.0,1.0,3.0,1.6,1.0,,,,No,0.0,Local_Synthetic,0.5
31.0,Female,Sales,Sales Executive,0.4,86175.65,-0.9470506038890596,8891.81,1.0,1.0,0.0,7.1,5.0,,,,No,0.0,Local_Synthetic,0.5
48.0,Female,Engineering,Senior Software Engineer,1.9,159301.99,-0.3264906409409387,12976.45,1.0,0.0,0.0,10.5,5.0,,,,No,0.0,Local_Synthetic,0.5
40.0,Female,Engineering,DevOps Engineer,1.03,75934.82,-1.0339556655311164,9673.64,2.0,1.0,0.0,1.5,1.0,,,,No,0.0,Local_Synthetic,0.5
37.0,Male,Finance,Senior Accountant,6.9,209130.56,0.09636131025691769,26449.93,0.0,0.0,2.0,5.3,5.0,,,,No,0.0,Local_Synthetic,0.5
39.0,Female,Engineering,QA Engineer,0.8,89605.61,-0.9179435017079093,12045.43,2.0,0.0,1.0,3.3,3.0,,,,No,0.0,Local_Synthetic,0.5
41.0,Female,Sales,Account Manager,4.46,335561.41,1.1692705190522632,46827.75,3.0,0.0,0.0,4.8,2.0,,,,No,0.0,Local_Synthetic,0.5
23.0,Male,Marketing,Digital Marketer,7.95,88083.17,-0.9308631324454895,8230.04,0.0,2.0,2.0,14.7,5.0,,,,No,0.0,Local_Synthetic,0.5
26.0,Male,Marketing,Digital Marketer,0.47,85936.35,-0.9490813358952489,10887.07,1.0,2.0,0.0,5.7,3.0,,,,No,0.0,Local_Synthetic,0.5
30.0,Female,Marketing,Marketing Manager,3.32,526313.42,2.7880177482706214,68757.52,2.0,0.0,0.0,2.6,2.0,,,,No,0.0,Local_Synthetic,0.5
25.0,Male,Sales,Account Manager,9.13,182682.94,-0.12807675251589412,14769.18,2.0,0.0,1.0,13.2,5.0,,,,Yes,1.0,Local_Synthetic,0.5
36.0,Male,Finance,Finance Controller,1.81,273914.4,0.646125695429716,39149.0,1.0,0.0,2.0,6.1,4.0,,,,No,0.0,Local_Synthetic,0.5
44.0,Female,Finance,Accountant,1.72,208113.55,0.08773082652263159,12369.05,0.0,0.0,0.0,3.0,1.0,,,,Yes,1.0,Local_Synthetic,0.5
44.0,Male,Sales,Account Manager,2.32,464334.65,2.2620575646381558,69384.1,0.0,1.0,1.0,8.5,4.0,,,,Yes,1.0,Local_Synthetic,0.5
38.0,Male,Finance,Finance Controller,0.72,158552.24,-0.3328531203460389,20137.57,1.0,0.0,2.0,5.9,4.0,,,,No,0.0,Local_Synthetic,0.5
51.0,Male,Finance,Finance Controller,0.63,247113.42,0.41868897213995016,14660.52,0.0,1.0,0.0,4.0,2.0,,,,No,0.0,Local_Synthetic,0.5
41.0,Female,HR,HR Manager,10.87,482045.28,2.41235235440321,55735.5,0.0,0.0,0.0,5.0,3.0,,,,No,0.0,Local_Synthetic,0.5
24.0,Male,Operations,Operations Executive,8.4,167246.72,-0.25907059291948936,8933.98,1.0,2.0,0.0,12.8,5.0,,,,Yes,1.0,Local_Synthetic,0.5
48.0,Female,Operations,Senior Project Manager,2.06,302746.2,0.8907962305573818,38454.43,1.0,2.0,1.0,1.2,1.0,,,,No,0.0,Local_Synthetic,0.5
41.0,Male,Finance,Finance Controller,1.13,256650.63,0.49962301976531254,33344.64,1.0,0.0,0.0,10.9,4.0,,,,No,0.0,Local_Synthetic,0.5
43.0,Female,Operations,Senior Project Manager,4.7,240151.32,0.3596076545457547,26474.53,0.0,2.0,0.0,12.7,5.0,,,,No,0.0,Local_Synthetic,0.5
41.0,Female,Operations,Operations Executive,15.0,154859.63,-0.36418910577593805,21012.29,2.0,2.0,0.0,13.6,5.0,,,,Yes,1.0,Local_Synthetic,0.5
40.0,Female,Finance,Finance Controller,7.59,253113.99,0.46961061674663485,15133.26,1.0,1.0,1.0,5.6,2.0,,,,No,0.0,Local_Synthetic,0.5
25.0,Female,Sales,Senior Account Manager,1.7,275271.57,0.6576428227044339,21358.98,0.0,2.0,1.0,2.9,2.0,,,,No,0.0,Local_Synthetic,0.5
41.0,Male,Operations,Senior Project Manager,2.32,288942.9,0.773659569040317,26414.51,6.0,2.0,0.0,10.2,5.0,,,,Yes,1.0,Local_Synthetic,0.5
49.0,Female,Operations,Operations Executive,3.83,110422.88,-0.7412853467957253,5989.98,1.0,0.0,1.0,8.1,3.0,,,,No,0.0,Local_Synthetic,0.5
32.0,Female,Marketing,Marketing Manager,2.63,346416.34,1.261386915942966,32847.75,1.0,1.0,1.0,5.3,3.0,,,,No,0.0,Local_Synthetic,0.5
42.0,Female,Engineering,Software Engineer,1.13,191770.63,-0.0509573921091787,14674.55,1.0,1.0,0.0,3.4,3.0,,,,No,0.0,Local_Synthetic,0.5
23.0,Female,HR,HR Executive,1.12,75165.86,-1.0404811635815943,6710.32,3.0,0.0,0.0,4.7,3.0,,,,No,0.0,Local_Synthetic,0.5
33.0,Female,Marketing,Digital Marketer,3.79,88166.79,-0.9301535218714921,8156.33,1.0,1.0,1.0,5.9,4.0,,,,No,0.0,Local_Synthetic,0.5
36.0,Male,Finance,Senior Accountant,12.23,206585.33,0.07476214592715015,28496.62,1.0,0.0,1.0,8.2,3.0,,,,No,0.0,Local_Synthetic,0.5
55.0,Male,Marketing,Marketing Manager,0.67,352746.84,1.3151083909332784,27173.53,3.0,0.0,2.0,3.9,2.0,,,,No,0.0,Local_Synthetic,0.5
29.0,Male,Engineering,Software Engineer,4.16,81125.22,-0.989909232581157,11306.77,0.0,0.0,0.0,7.1,3.0,,,,No,0.0,Local_Synthetic,0.5
31.0,Male,Engineering,QA Engineer,9.19,100542.76,-0.8251293748316286,9309.97,6.0,1.0,0.0,11.7,4.0,,,,No,0.0,Local_Synthetic,0.5
35.0,Female,Operations,Project Manager,0.08,448089.16,2.1241961500989612,37093.17,0.0,0.0,2.0,8.0,5.0,,,,No,0.0,Local_Synthetic,0.5
55.0,Female,HR,HR Manager,1.92,302402.24,0.8878773397055266,30316.19,3.0,1.0,0.0,7.6,3.0,,,,No,0.0,Local_Synthetic,0.5
51.0,Male,Finance,Accountant,4.72,208067.12,0.08733681529385032,19095.22,1.0,0.0,0.0,4.2,4.0,,,,No,0.0,Local_Synthetic,0.5
23.0,Male,HR,HR Executive,7.96,61629.35,-1.1553538092527282,4667.64,1.0,0.0,0.0,3.6,3.0,,,,No,0.0,Local_Synthetic,0.5
29.0,Female,HR,HR Executive,9.86,244276.49,0.39461440235173945,24493.1,3.0,0.0,1.0,5.3,4.0,,,,No,0.0,Local_Synthetic,0.5
49.0,Female,Marketing,Digital Marketer,1.17,89527.45,-0.9186067779870726,5835.41,1.0,1.0,0.0,3.2,2.0,,,,No,0.0,Local_Synthetic,0.5
23.0,Female,Engineering,QA Engineer,0.25,110540.24,-0.7402894140408303,9417.25,1.0,0.0,3.0,5.4,3.0,,,,No,0.0,Local_Synthetic,0.5
51.0,Female,Operations,Project Manager,1.19,171887.35,-0.21968958218032286,18319.59,0.0,1.0,2.0,2.0,1.0,,,,No,0.0,Local_Synthetic,0.5
31.0,Female,Marketing,Digital Marketer,2.83,62352.0,-1.1492213040948815,5695.28,2.0,3.0,0.0,3.0,2.0,,,,No,0.0,Local_Synthetic,0.5
53.0,Female,Finance,Accountant,0.93,147336.76,-0.42802919306136117,19506.1,0.0,1.0,2.0,4.5,4.0,,,,No,0.0,Local_Synthetic,0.5
31.0,Male,HR,HR Executive,1.5,139167.63,-0.4973535296836834,10531.12,1.0,3.0,2.0,2.4,1.0,,,,No,0.0,Local_Synthetic,0.5
36.0,Female,Engineering,QA Engineer,4.97,87090.45,-0.9392874879707059,12800.31,0.0,1.0,1.0,2.1,2.0,,,,No,0.0,Local_Synthetic,0.5
44.0,Male,Operations,Senior Project Manager,0.08,432073.48,1.9882849341487447,55509.43,1.0,1.0,0.0,10.5,4.0,,,,No,0.0,Local_Synthetic,0.5
26.0,Male,HR,HR Executive,6.22,75476.04,-1.0378489343560204,11076.81,1.0,1.0,1.0,14.3,5.0,,,,Yes,1.0,Local_Synthetic,0.5
40.0,Male,Engineering,DevOps Engineer,0.08,107143.85,-0.7691116366839623,14337.31,0.0,0.0,1.0,7.3,3.0,,,,No,0.0,Local_Synthetic,0.5
39.0,Male,HR,HR Manager,3.35,280929.11,0.7056534685644277,18038.57,1.0,0.0,1.0,6.6,3.0,,,,Yes,1.0,Local_Synthetic,0.5
48.0,Male,Marketing,Marketing Executive,0.21,130362.47,-0.5720753024861002,13381.19,2.0,0.0,0.0,6.9,3.0,,,,No,0.0,Local_Synthetic,0.5
55.0,Female,Sales,Account Manager,1.12,155453.01,-0.3591536032358935,10415.02,1.0,1.0,1.0,9.2,4.0,,,,No,0.0,Local_Synthetic,0.5
